sample_id,path,basename,extension,label,label_name,size_bytes,sha256,sample_rate,duration_seconds,channels,speaker_id,source_id,generator_id,dataset_id,parent_recording_id,duplicate_group_id,canonical_sample_id,integrity_status,included,exclusion_reason
dfd5968dfdfa7602cb16b01a,data/FAKE/2077.wav,2077,.wav,1,FAKE,141818,1827eff0ff104e55e20e0e564c7803c2d69718214d59bbb29a6a5526abfd7c8d,16000,2.215000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:1827eff0ff104e55e20e0e564c7803c2d69718214d59bbb29a6a5526abfd7c8d,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
9ccc729e854f58312f9c97da,data/FAKE/6911.wav,6911,.wav,1,FAKE,126590,b4da6ee2c15f7e6df35b45332ce7ec8ec59d222409836db2befa0656117de2a0,16000,1.977062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:b4da6ee2c15f7e6df35b45332ce7ec8ec59d222409836db2befa0656117de2a0,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
9f28f2e63b043d207947684e,data/FAKE/6913.wav,6913,.wav,1,FAKE,94590,5319132ae11c30624c8e73075bf3e5dd69962ea8f7d291624d283a108d0dbf11,16000,1.477062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:5319132ae11c30624c8e73075bf3e5dd69962ea8f7d291624d283a108d0dbf11,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
891299f91ebc3b7c2e056a97,data/FAKE/6915.wav,6915,.wav,1,FAKE,485118,9047cf22b235ed51b836dbbd6c7c595b236dbde9668876391b51ed3e9e212e66,16000,7.579062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:9047cf22b235ed51b836dbbd6c7c595b236dbde9668876391b51ed3e9e212e66,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
af275f2da917bda937212574,data/FAKE/6916.wav,6916,.wav,1,FAKE,229950,e72e1a50d578d0c94752b759623953cdda1fc61f861160073edae1e4025b1fef,16000,3.592062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:e72e1a50d578d0c94752b759623953cdda1fc61f861160073edae1e4025b1fef,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
bfac69b6f34c3e387fc1f1a1,data/FAKE/6920.wav,6920,.wav,1,FAKE,597310,aed2f5b5f6ce849afac49950679e7ac648d8dc34c5df6db52cd8730f8bc009cd,16000,9.332062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:aed2f5b5f6ce849afac49950679e7ac648d8dc34c5df6db52cd8730f8bc009cd,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
ae80370391be50bd6a0c14cc,data/FAKE/6922.wav,6922,.wav,1,FAKE,501370,c28a5d640f62503940ad18de8c9611c6a32108265a39135c436190a57021feb4,16000,7.833000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:c28a5d640f62503940ad18de8c9611c6a32108265a39135c436190a57021feb4,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
50a88e85ac14872ff69b36b8,data/FAKE/6924.wav,6924,.wav,1,FAKE,420346,005f5e1bb300ffbc7d89cfa0ff0edee8f1fcc65309035a2ba627be348b32cc60,16000,6.567000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:005f5e1bb300ffbc7d89cfa0ff0edee8f1fcc65309035a2ba627be348b32cc60,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
abcd1c4af5a8007e75c14f9a,data/FAKE/6925.wav,6925,.wav,1,FAKE,370042,886855d1b28f63e8f3745a2397885abd5a15d01de0be4f73c5426b21af7034ef,16000,5.781000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:886855d1b28f63e8f3745a2397885abd5a15d01de0be4f73c5426b21af7034ef,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
fe936fcaa3e3b83017d30678,data/FAKE/6926.wav,6926,.wav,1,FAKE,455738,a0790fe4940d42b8dcb9c6687c4aa72760ac283ecfa0727f6df1d05bbe79c993,16000,7.120000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:a0790fe4940d42b8dcb9c6687c4aa72760ac283ecfa0727f6df1d05bbe79c993,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
4a4443b889e587771087b6ad,data/FAKE/6929.wav,6929,.wav,1,FAKE,1116158,44f6aec4e3d1e16f79ffbc184970c224f2544ff45283970dddb8915334555023,16000,17.439062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:44f6aec4e3d1e16f79ffbc184970c224f2544ff45283970dddb8915334555023,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
81fda09cf5d8e05502f02188,data/FAKE/6934.wav,6934,.wav,1,FAKE,175102,7f75b74e5b5274b368f6cfc9605619bbe3c3bf903eeef67671e3cfb9bc91dbf5,16000,2.735062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:7f75b74e5b5274b368f6cfc9605619bbe3c3bf903eeef67671e3cfb9bc91dbf5,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
7ba7c4a4def182b6c0d4e19a,data/FAKE/6938.wav,6938,.wav,1,FAKE,439802,e119b53478a5b0e99ac442e1ae420a7b4b35e4a93c0d46426721547b61aadff7,16000,6.871000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:e119b53478a5b0e99ac442e1ae420a7b4b35e4a93c0d46426721547b61aadff7,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
862ae900862ae4aa8065e5d8,data/FAKE/6957.wav,6957,.wav,1,FAKE,174014,c8e05a294fdeb329d0bdf13ce899141295613d42b65871036af3022b02cff681,16000,2.718062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:c8e05a294fdeb329d0bdf13ce899141295613d42b65871036af3022b02cff681,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
1a292cbdb602fabd3eb51b29,data/REAL/2077.wav,2077,.wav,0,REAL,141818,1827eff0ff104e55e20e0e564c7803c2d69718214d59bbb29a6a5526abfd7c8d,16000,2.215000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:1827eff0ff104e55e20e0e564c7803c2d69718214d59bbb29a6a5526abfd7c8d,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
186343ad2730e7e5101a8ca3,data/REAL/6911 (1).wav,6911 (1),.wav,0,REAL,126590,b4da6ee2c15f7e6df35b45332ce7ec8ec59d222409836db2befa0656117de2a0,16000,1.977062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:b4da6ee2c15f7e6df35b45332ce7ec8ec59d222409836db2befa0656117de2a0,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
5b67cede55dab88dd97c776d,data/REAL/6911.wav,6911,.wav,0,REAL,126590,b4da6ee2c15f7e6df35b45332ce7ec8ec59d222409836db2befa0656117de2a0,16000,1.977062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:b4da6ee2c15f7e6df35b45332ce7ec8ec59d222409836db2befa0656117de2a0,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
795cdb4c228e412c088b3002,data/REAL/6913.wav,6913,.wav,0,REAL,94590,5319132ae11c30624c8e73075bf3e5dd69962ea8f7d291624d283a108d0dbf11,16000,1.477062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:5319132ae11c30624c8e73075bf3e5dd69962ea8f7d291624d283a108d0dbf11,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
03eced522f095fa86cad64ec,data/REAL/6915.wav,6915,.wav,0,REAL,485118,9047cf22b235ed51b836dbbd6c7c595b236dbde9668876391b51ed3e9e212e66,16000,7.579062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:9047cf22b235ed51b836dbbd6c7c595b236dbde9668876391b51ed3e9e212e66,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
2c027c6cc2b8508a18a28271,data/REAL/6916.wav,6916,.wav,0,REAL,229950,e72e1a50d578d0c94752b759623953cdda1fc61f861160073edae1e4025b1fef,16000,3.592062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:e72e1a50d578d0c94752b759623953cdda1fc61f861160073edae1e4025b1fef,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
59d747d1bed8b74bd2364063,data/REAL/6920.wav,6920,.wav,0,REAL,597310,aed2f5b5f6ce849afac49950679e7ac648d8dc34c5df6db52cd8730f8bc009cd,16000,9.332062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:aed2f5b5f6ce849afac49950679e7ac648d8dc34c5df6db52cd8730f8bc009cd,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
fe62039c987fef0034007e6e,data/REAL/6922.wav,6922,.wav,0,REAL,501370,c28a5d640f62503940ad18de8c9611c6a32108265a39135c436190a57021feb4,16000,7.833000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:c28a5d640f62503940ad18de8c9611c6a32108265a39135c436190a57021feb4,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
103ad86acec93588423f8551,data/REAL/6924.wav,6924,.wav,0,REAL,420346,005f5e1bb300ffbc7d89cfa0ff0edee8f1fcc65309035a2ba627be348b32cc60,16000,6.567000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:005f5e1bb300ffbc7d89cfa0ff0edee8f1fcc65309035a2ba627be348b32cc60,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
8cdb2920823ee4543ff768d3,data/REAL/6925 (1).wav,6925 (1),.wav,0,REAL,370042,886855d1b28f63e8f3745a2397885abd5a15d01de0be4f73c5426b21af7034ef,16000,5.781000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:886855d1b28f63e8f3745a2397885abd5a15d01de0be4f73c5426b21af7034ef,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
ea58babdf604bc1e44fd5dc5,data/REAL/6925.wav,6925,.wav,0,REAL,370042,886855d1b28f63e8f3745a2397885abd5a15d01de0be4f73c5426b21af7034ef,16000,5.781000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:886855d1b28f63e8f3745a2397885abd5a15d01de0be4f73c5426b21af7034ef,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
63dc8a6bc7606097ad68bc2b,data/REAL/6926.wav,6926,.wav,0,REAL,455738,a0790fe4940d42b8dcb9c6687c4aa72760ac283ecfa0727f6df1d05bbe79c993,16000,7.120000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:a0790fe4940d42b8dcb9c6687c4aa72760ac283ecfa0727f6df1d05bbe79c993,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
ff6f46f3af91976f8d70a70f,data/REAL/6929.wav,6929,.wav,0,REAL,1116158,44f6aec4e3d1e16f79ffbc184970c224f2544ff45283970dddb8915334555023,16000,17.439062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:44f6aec4e3d1e16f79ffbc184970c224f2544ff45283970dddb8915334555023,,LABEL_CONFLICT,False,identical bytes occur under both REAL and FAKE labels
