sample_id,path,basename,extension,label,label_name,size_bytes,sha256,sample_rate,duration_seconds,channels,speaker_id,source_id,generator_id,dataset_id,parent_recording_id,duplicate_group_id,canonical_sample_id,integrity_status,included,exclusion_reason,split
005e66f37d53c6bc5e6f19c9,data/REAL/11241.wav,11241,.wav,0,REAL,272250,1c1a5a98d05dc7e28d98315d23de55693cc1c4aa46efebb543b37ecae9d1ce89,16000,4.253000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:1c1a5a98d05dc7e28d98315d23de55693cc1c4aa46efebb543b37ecae9d1ce89,005e66f37d53c6bc5e6f19c9,INCLUDED,True,,test
00e2db76debbd34d7d91e040,data/REAL/yt_0011_part_168.flac,yt_0011_part_168,.flac,0,REAL,302895,6607bcd9be3bfa52ad3b8e8c810f8eee21640849f5ed791cc68feb43d83dbec8,44100,3.254988662,2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:6607bcd9be3bfa52ad3b8e8c810f8eee21640849f5ed791cc68feb43d83dbec8,00e2db76debbd34d7d91e040,INCLUDED,True,,test
01078bd0ff97808377c5f074,data/REAL/3318.wav,3318,.wav,0,REAL,110522,4db418734c5cc84215b808950cc01ce2aa79530bf130c4a4072075cb20e7f2bc,16000,1.726000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:4db418734c5cc84215b808950cc01ce2aa79530bf130c4a4072075cb20e7f2bc,01078bd0ff97808377c5f074,INCLUDED,True,,test
01142348d392f24a1e463907,data/REAL/1414.wav,1414,.wav,0,REAL,303358,eb1181c5b5502813b368f5f31417229dfcac7dca10d153b4d2a1b22c1dad6726,16000,4.739062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:eb1181c5b5502813b368f5f31417229dfcac7dca10d153b4d2a1b22c1dad6726,01142348d392f24a1e463907,INCLUDED,True,,test
011b2e6551fde1bb8f2ab971,data/REAL/19316.wav,19316,.wav,0,REAL,85694,3aa7e9aa0a19813a8f7b0e0bcf338456e4ce7f39bdac6c5c807c75c82d9d6c23,16000,1.338062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:3aa7e9aa0a19813a8f7b0e0bcf338456e4ce7f39bdac6c5c807c75c82d9d6c23,011b2e6551fde1bb8f2ab971,INCLUDED,True,,test
013c5deeb0014cc4aa5fbade,data/REAL/10592.wav,10592,.wav,0,REAL,148414,a92c9e3be6e02799b992a4ca1e442a3670fc01c79995442b0d2b93d14d61dd4d,16000,2.318062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:a92c9e3be6e02799b992a4ca1e442a3670fc01c79995442b0d2b93d14d61dd4d,013c5deeb0014cc4aa5fbade,INCLUDED,True,,test
014722ad911f100f231d01d5,data/REAL/19532.wav,19532,.wav,0,REAL,285626,0d1840a7ff93d989c49407241f1e7f75787815acf15742e566cfa12760a3c484,16000,4.462000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:0d1840a7ff93d989c49407241f1e7f75787815acf15742e566cfa12760a3c484,014722ad911f100f231d01d5,INCLUDED,True,,test
014c3b0d39c8d2d883c61565,data/REAL/6185.wav,6185,.wav,0,REAL,166842,3bdb46495b59423165214d4196e5390e50b7bc4024ba12ff37de4a1e139a4ad9,16000,2.606000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:3bdb46495b59423165214d4196e5390e50b7bc4024ba12ff37de4a1e139a4ad9,014c3b0d39c8d2d883c61565,INCLUDED,True,,test
017b4bcac1ab42829f64ec70,data/REAL/18728.wav,18728,.wav,0,REAL,138874,0ded7e9dcc8096a5a664af80e2720548c30fadb75d2cf677ac87cc9401a04b6a,16000,2.169000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:0ded7e9dcc8096a5a664af80e2720548c30fadb75d2cf677ac87cc9401a04b6a,017b4bcac1ab42829f64ec70,INCLUDED,True,,test
018c4ae70f2b130dd1dcc985,data/REAL/18638.wav,18638,.wav,0,REAL,229626,4e6e0ddbb8b743c79f3f82fc23cde9e5fdf408c8237b41d6e236a7b677badcbb,16000,3.587000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:4e6e0ddbb8b743c79f3f82fc23cde9e5fdf408c8237b41d6e236a7b677badcbb,018c4ae70f2b130dd1dcc985,INCLUDED,True,,test
01c4a43e29cee4bd2516fd34,data/REAL/3608.wav,3608,.wav,0,REAL,189178,067941f26a5bc4af205bd787fd918266546ed0cc6c60a592aaddc3aa7ef309fb,16000,2.955000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:067941f26a5bc4af205bd787fd918266546ed0cc6c60a592aaddc3aa7ef309fb,01c4a43e29cee4bd2516fd34,INCLUDED,True,,test
01dca0bff948316d2ab62971,data/REAL/8953.wav,8953,.wav,0,REAL,193786,eb4ada33ad8469f423ec2ce0b21f8bc8f2c01262855d76d7586fa948055c5403,16000,3.027000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:eb4ada33ad8469f423ec2ce0b21f8bc8f2c01262855d76d7586fa948055c5403,01dca0bff948316d2ab62971,INCLUDED,True,,test
