sample_id,path,basename,extension,label,label_name,size_bytes,sha256,sample_rate,duration_seconds,channels,speaker_id,source_id,generator_id,dataset_id,parent_recording_id,duplicate_group_id,canonical_sample_id,integrity_status,included,exclusion_reason
db0be2b96ed44391dcb5f726,data/FAKE/1160.wav,1160,.wav,1,FAKE,284794,526ea80e87c2112042e66a5d4ef564b227c301e17aa1734a80b1c9abc150d9d6,16000,4.449000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:526ea80e87c2112042e66a5d4ef564b227c301e17aa1734a80b1c9abc150d9d6,1f314f82de845490f847e79a,DUPLICATE_EXCLUDED,False,same-label byte duplicate; canonical member retained
d4d6fb5a587123ae582c7524,data/FAKE/1161.wav,1161,.wav,1,FAKE,888826,c6d68aeb8ad6087efe9b9388defe3b21cbe1f17dcbbeb8cf9fbbe04ba4fe306c,16000,13.887000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:c6d68aeb8ad6087efe9b9388defe3b21cbe1f17dcbbeb8cf9fbbe04ba4fe306c,bef198c6a7ca05c06cbfa5f8,DUPLICATE_EXCLUDED,False,same-label byte duplicate; canonical member retained
ba56246c3a1fc705e4cd9923,data/FAKE/20744.wav,20744,.wav,1,FAKE,632318,851b79e7344a519afae383f4426da0add9b293f6dd09be3155c32b1d9d66cd5d,16000,9.879062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:851b79e7344a519afae383f4426da0add9b293f6dd09be3155c32b1d9d66cd5d,2dcd666b12712bb6d89e410b,DUPLICATE_EXCLUDED,False,same-label byte duplicate; canonical member retained
fa42a1856ff715eb6324a605,data/FAKE/20745.wav,20745,.wav,1,FAKE,271738,0674982fd37ab2509017c87ace96a581b70413100b84f1246a12bf919e20ac09,16000,4.245000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:0674982fd37ab2509017c87ace96a581b70413100b84f1246a12bf919e20ac09,e588e7dbe26d65affa961bac,DUPLICATE_EXCLUDED,False,same-label byte duplicate; canonical member retained
1ed5472b054a3035b993d1c9,data/FAKE/20746.wav,20746,.wav,1,FAKE,124218,a8cc5ecfeefec62ff201d63647228ddb78af918d5dfa74438b3dc4280f1a5144,16000,1.940000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:a8cc5ecfeefec62ff201d63647228ddb78af918d5dfa74438b3dc4280f1a5144,cef0252e88c56a370684ffff,DUPLICATE_EXCLUDED,False,same-label byte duplicate; canonical member retained
4e4613fae938ee788039e118,data/FAKE/20747.wav,20747,.wav,1,FAKE,58494,4afb67e02daf947a0f724ae6edbdcf8bc3c4226933dc6a6d3104566bf8711ee3,16000,0.913062500,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:4afb67e02daf947a0f724ae6edbdcf8bc3c4226933dc6a6d3104566bf8711ee3,6bd770b8d07ae38c444df5bd,DUPLICATE_EXCLUDED,False,same-label byte duplicate; canonical member retained
b401abbb3543a072c3f2d4f0,data/FAKE/2075.wav,2075,.wav,1,FAKE,243002,770815555c3e04140ea30419ad3093891524cf9f7b7fd2ce91fad23527686c24,16000,3.796000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:770815555c3e04140ea30419ad3093891524cf9f7b7fd2ce91fad23527686c24,ade90b35d4a0b629fae91708,DUPLICATE_EXCLUDED,False,same-label byte duplicate; canonical member retained
7881f80a3905449537ad8179,data/FAKE/20750.wav,20750,.wav,1,FAKE,90938,8120656a272b0fa1f22521d8521841d016386c8dfa9166d08cebe89c054a6f99,16000,1.420000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:8120656a272b0fa1f22521d8521841d016386c8dfa9166d08cebe89c054a6f99,09380335412a78f7c23c72ee,DUPLICATE_EXCLUDED,False,same-label byte duplicate; canonical member retained
71db3f354041281e5d07c186,data/FAKE/20751.wav,20751,.wav,1,FAKE,111546,e1f1f0c69e233ed32ff2e716a18d0c7ede8655741ca817d4b423ab77c25db641,16000,1.742000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:e1f1f0c69e233ed32ff2e716a18d0c7ede8655741ca817d4b423ab77c25db641,1952d40231238b49d16e5c8f,DUPLICATE_EXCLUDED,False,same-label byte duplicate; canonical member retained
b30986b5a0caba110cd16fe0,data/FAKE/20752.wav,20752,.wav,1,FAKE,295802,21bbc850f5360f5912f4d6fbd796b74548e34c4e708e02f941d1de81db08b183,16000,4.621000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:21bbc850f5360f5912f4d6fbd796b74548e34c4e708e02f941d1de81db08b183,62f9356d313f5fe726dbd5eb,DUPLICATE_EXCLUDED,False,same-label byte duplicate; canonical member retained
d8387d65166b038f0a043669,data/FAKE/21339.wav,21339,.wav,1,FAKE,529978,80b0ddd41a1be2d503714f06ae0f70943114b47e828c474c1f1f1958fb17b14b,16000,8.280000000,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,sha256:80b0ddd41a1be2d503714f06ae0f70943114b47e828c474c1f1f1958fb17b14b,aa1c339c46070afec1efc7e1,DUPLICATE_EXCLUDED,False,same-label byte duplicate; canonical member retained
